file	side	kappa
02_std/fused_labels/ADNI_012_S_1292_MR_MPR____N3__Scaled_Br_20080225095614127_S27448_I92429	left	0.456686291
02_std/fused_labels/ADNI_013_S_0699_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070727182856171_S18366_I62650	left	0.1383139828
02_std/fused_labels/ADNI_012_S_1133_MR_MPR____N3__Scaled_Br_20070711170922052_S25016_I59224	left	0.4164383562
02_std/fused_labels/ADNI_012_S_1165_MR_MPR____N3__Scaled_Br_20070711171305055_S24576_I59229	left	0.4324553951
02_std/fused_labels/ADNI_013_S_0240_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070426090948082_S12308_I51151	left	0.3475409836
02_std/fused_labels/ADNI_012_S_1165_MR_MPR____N3__Scaled_2_Br_20081001123930839_S24576_I118729	left	0.2466922749
02_std/fused_labels/ADNI_013_S_0325_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070517130132929_S13524_I54665	left	0.3514921838
02_std/fused_labels/ADNI_012_S_1321_MR_MPR____N3__Scaled_Br_20070731164421634_S26933_I63367	left	0.5532302093
02_std/fused_labels/ADNI_013_S_1161_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426171211057_S24399_I51485	left	0.3640757149
02_std/fused_labels/ADNI_013_S_0502_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426090217227_S17232_I51138	left	0.4853875476
02_std/fused_labels/ADNI_013_S_0860_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426173344229_S19237_I51533	left	0.1805869074
02_std/fused_labels/ADNI_013_S_1120_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426171701271_S22815_I51494	left	0.5588536336
02_std/fused_labels/ADNI_013_S_1205_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426173828172_S25024_I51542	left	0.4476239142
02_std/fused_labels/ADNI_013_S_0575_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070426091507319_S17859_I51160	left	0.4260948905
02_std/fused_labels/ADNI_013_S_1276_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727184726417_S27641_I62680	left	0.5452250736
02_std/fused_labels/ADNI_014_S_0356_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070212233545528_S12857_I39629	left	0.4533775383
02_std/fused_labels/ADNI_013_S_0592_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20071028192251104_S18419_I79144	left	0.4232758621
02_std/fused_labels/ADNI_013_S_0996_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426092308209_S22240_I51183	left	0.5574387947
02_std/fused_labels/ADNI_013_S_1035_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426091804212_S21984_I51165	left	0.6962025316
02_std/fused_labels/ADNI_013_S_1275_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727183904208_S27069_I62666	left	0.5961361546
02_std/fused_labels/ADNI_014_S_0169_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070217040959687_S11565_I40858	left	0.6941522928
02_std/fused_labels/ADNI_014_S_0548_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070213003619175_S14921_I39665	left	0.6222038111
02_std/fused_labels/ADNI_014_S_0563_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070213012025422_S16079_I39692	left	0.5480519481
02_std/fused_labels/ADNI_013_S_1186_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070727183243035_S25689_I62656	left	0.557261957
02_std/fused_labels/ADNI_014_S_0328_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070212231950856_S12402_I39620	left	0.6736434109
02_std/fused_labels/ADNI_016_S_0359_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20080308122209967_S13000_I96221	left	0.6443252904
02_std/fused_labels/ADNI_014_S_0520_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070213002755949_S14473_I39660	left	0.452476573
02_std/fused_labels/ADNI_016_S_0590_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070426172230102_S15409_I51515	left	0.5274499743
02_std/fused_labels/ADNI_016_S_1028_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070217023802197_S22058_I40799	left	0.4784688995
02_std/fused_labels/ADNI_014_S_0557_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070213005125862_S15094_I39674	left	0.7027250206
02_std/fused_labels/ADNI_014_S_0519_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070213000538637_S14488_I39647	left	0.7072580645
02_std/fused_labels/ADNI_014_S_0558_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070213010603779_S15789_I39683	left	0.6789819376
02_std/fused_labels/ADNI_016_S_1092_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20080408123505686_S23827_I101411	left	0.3766899767
02_std/fused_labels/ADNI_016_S_0991_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070217023139686_S21737_I40794	left	0.2625937835
02_std/fused_labels/ADNI_014_S_1095_MR_MPR__GradWarp__B1_Correction__N3__Scaled_Br_20070320181218511_S23323_I45740	left	0.6578827806
02_std/fused_labels/ADNI_016_S_1121_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20080308122849834_S23742_I96234	left	0.3554976097
02_std/fused_labels/ADNI_016_S_1263_MR_MPR-R__GradWarp__B1_Correction__N3__Scaled_Br_20070804134033886_S27303_I64622	left	0.3544813696
02_std/fused_labels/ADNI_018_S_0055_MR_MPR____N3__Scaled_2_Br_20081001150640983_S10371_I118831	left	0.5010317788
